Title,Price,Bedrooms,Bathrooms,Longitude,Latitude
"Basel, Gundeldingen",2730,2,1,7.590839399999999,47.5440919
"Paris, Auteuil",3860,3,1,2.2563858,48.8436324
"Paris, Passy",5170,2,2,2.285311,48.856291
"Paris, Passy",2490,0,1,2.2795378,48.85663030000001
"Paris, Auteuil",1870,0,1,2.263697800000001,48.84411720000001
"Paris, Auteuil",4240,3,2,2.2579568,48.8394608
"Paris, Trocadéro",2600,1,2,2.2805785,48.8583021
"Paris, Ternes",7020,4,3,2.30098,48.8877773
"Athens, Historic Center",1360,3,1,23.7387143,37.98493810000001
"Paris, Villiers",3400,2,1,2.3164096,48.8823697
"Paris, Villiers",1890,1,1,2.3173794,48.88209569999999
"Paris, Ternes",4600,3,1,2.2855428,48.88331849999999
"Paris, Ternes",5330,2,2,2.2960592,48.8846832
"Paris, Ternes",5100,3,2,2.2909674,48.88125669999999
"Barcelona, Antiga Esquerra de l'Eixample",2130,3,1,2.1513554,41.3936365
"Barcelona, Les Tres Torres",4220,4,2,2.1374567,41.39475419999999
"Berlin, Charlottenburg",1630,0,1,13.329638,52.50057469999999
"Berlin, Prenzlauer Berg",3080,2,1,13.4145912,52.551494
"Athens, Chalandri",1240,2,1,23.8082809,38.0306111
"Athens, Chalandri",900,1,1,23.7930102,38.010204
"Athens, Nea Smyrni",1240,2,1,23.7116699,37.94613349999999
"Athens, Vrilissia",1760,3,1,23.8435099,38.0447541
"Barcelona, La Dreta de l'Eixample",2500,2,1,2.1690864,41.3880627
"Barcelona, La Bordeta",1950,3,2,2.1405246,41.3677529
"Barcelona, La Bordeta",2200,3,2,2.123353,41.3763925
"Barcelona, Galvany",1650,2,1,2.1450379,41.3954503
"Barcelona, Les Tres Torres",2740,3,2,2.1388744,41.3929293
"Barcelona, Galvany",2300,2,1,2.1319103,41.3931707
"Athens, Politeia",2160,3,2,23.829006899999968,38.0931509
"Athens, Politeia",2250,3,2,23.82661859999996,38.0916542
"Athens, Pangrati",1260,2,1,23.745051,37.9653592
"Istanbul, Nisbetiye",1172,2,1,29.0241746,41.0750632
"Istanbul, Fulya",1157,1,1,28.998890000000074,41.0566493
"Athens, Agia Paraskevi",1450,2,1,23.829914400000007,38.00583839999999
"Athens, Agia Paraskevi",1710,2,1,23.826235600000018,38.0062005
"Athens, Melissia",1690,3,1,23.8347576,38.0562346
"Athens, Voula",1060,1,1,23.7712098,37.838888
"Athens, Glyfada",1450,2,1,23.7603758,37.8772864
"Athens, Glyfada",1960,3,1,23.7618261,37.8742303
"Athens, Chalandri",1450,2,1,23.80010960000004,38.02931290000001
"Athens, Agia Paraskevi",1350,2,1,23.8264367,38.0080922
"Athens, Voula",1560,2,1,23.761721,37.847248
"Athens, Ampelokipoi",1400,3,1,23.7600593,37.9904165
"Berlin, Prenzlauer Berg",2100,1,1,13.4144614,52.5516337
"Istanbul, Kagithane",759,1,1,28.97937319999999,41.08126499999999
"Istanbul, Bomonti",933,1,1,28.982506,41.0562741
"Istanbul, Maden",976,1,1,29.05309699999998,41.194261
"Istanbul, Beyoglu",955,1,1,28.9736204,41.0388732
"Istanbul, Ortaköy",4449,3,2,29.020219699999984,41.0542476
"Istanbul, Levent - Gültepe",976,1,1,28.9968252182006,41.0786394544723
"Istanbul, Etiler - Akatlar",1703,3,2,29.03594270000001,41.0873832
"Istanbul, Göktürk",1779,3,2,28.8814346,41.1791902
"Athens, Marousi",1340,3,2,23.8135647,38.0482155
"Athens, Kifisia",1290,3,1,23.8022005,38.0677969
"Athens, Papagou",1560,3,1,23.7903392,37.9796109
"Barcelona, La Dreta de l'Eixample",2080,2,1,2.1816214,41.4059173
"Berlin, Charlottenburg",3110,2,2,13.2941384,52.50140570000001
"Berlin, Kreuzberg",1430,0,1,13.4287261,52.4995609
"Berlin, Kreuzberg",1670,1,1,13.3745917,52.4858599
"Berlin, Charlottenburg",3730,3,2,13.2989055,52.50264
"Athens, Pangrati",1130,2,1,23.7524832,37.9696107
"Istanbul, Nisbetiye",1172,2,1,29.0241746,41.0750632
"Madrid, El Viso",1950,1,1,-3.6792399,40.4403932
"Madrid, El Viso",1890,1,1,-3.6798439,40.4429786
"Madrid, El Viso",2430,2,1,-3.6792399,40.4403932
"Madrid, El Viso",1960,1,1,-3.6792399,40.4403932
"Madrid, El Viso",2710,2,1,-3.6792399,40.4403932
"Madrid, Trafalgar",1630,1,1,-3.7031621,40.4351278
"Athens, Glyfada",1870,3,1,23.755411,37.870663
"Madrid, Trafalgar",2730,3,2,-3.6987482,40.4336427
"Madrid, Trafalgar",1680,1,1,-3.7031621,40.4351278
"Madrid, Ríos Rosas",2580,2,2,-3.700030700000001,40.4386437
"Madrid, Trafalgar",1900,1,1,-3.7031621,40.4351278
"Madrid, Ríos Rosas",2910,2,2,-3.7007794,40.4387338
"Madrid, Gaztambide",2360,2,1,-3.7105515,40.4360566
"Madrid, Vallehermoso",2700,2,2,-3.715543,40.44090190000001
