"
date","social payments
","buy a car
","Unemployment
","food
","mexico
","fitness club
","vacation
","netflix
","depression
","doctor
","fox news
","sex
","iphone
","find job
","food near me
","insurance
","education
","restaurants around
","petrol price
","rent flat
","children names
","amazon
","good restaurants
","diet
","credit cards
","USA
","travel
","IT
","bitcoin
","anton
","alcohol
","best films
","books
","imagine dragons
","stocks
","harry potter
","online courses
","wedding dress
","clothes
","cheap clothes
","order food
","delivery
","food delivery
","paid jobs
","best banks
","Standford
","Excel
","Facebook
","Trump
","Elon Musk
","car
","loans
","cats
","dogs
","tinder
","bbc
","late night show
","presents
","recipies
","dairy
","walmart
","best songs
","McDonald's
","buy food
","Starbucks
","Taco Bell
","Wendy's
","a
","data science
","news
","booking
","order online
","beauty salon
","GDP
","Inflation
"
2013-03-01,17,58,7.5,51,48,45,56,73,59,54,33,73,48,64,1,64,44,56,15,31,50,47,63,67,56,57,42,60,3,9,56,64,59,80,19,7,53,32,64,91,26,21,32,60,43,30,76,95,1,1,67,12,45,49,7,66,30,18,12,39,42,79,57,70,43,36,18,67,9,49,47,22,63,16629.050,2.246000
2013-04-01,14,60,7.6,53,42,42,52,65,63,59,48,75,46,70,1,66,47,55,13,34,52,45,57,69,59,55,43,62,8,9,54,62,58,74,18,7,54,29,65,80,26,22,29,63,39,31,82,93,1,1,65,13,47,48,7,72,29,20,11,44,41,78,64,67,39,33,23,67,11,61,49,22,63,16699.551,2.090455
2013-05-01,13,68,7.5,52,42,43,53,68,54,61,39,79,45,65,1,67,44,56,15,33,50,48,58,64,62,53,42,60,3,9,54,62,58,90,18,8,56,33,64,75,26,23,28,65,41,29,72,93,1,2,64,14,49,53,8,64,19,23,10,46,44,81,61,66,48,34,24,66,11,52,50,22,67,16699.551,1.981818
2013-06-01,13,62,7.5,51,47,42,60,72,47,56,32,79,53,66,2,63,33,58,17,32,48,49,62,64,63,60,42,58,2,9,51,66,56,87,14,7,55,34,65,70,24,21,31,60,46,23,68,89,1,1,68,14,48,54,8,65,20,20,9,48,47,79,64,67,42,37,27,62,9,49,50,22,68,16699.551,1.793000
2013-07-01,13,67,7.3,53,45,47,61,74,45,53,39,76,49,70,2,69,33,67,24,43,49,51,67,59,64,62,43,63,2,10,54,69,54,85,15,9,55,35,67,82,23,22,31,62,51,29,73,94,1,2,74,16,51,57,13,75,22,20,10,48,48,85,75,72,45,38,30,63,8,55,54,23,64,16911.068,1.857727
2013-08-01,15,68,7.2,50,41,43,49,72,43,69,33,78,49,65,2,71,38,66,30,38,44,52,63,58,68,57,41,60,2,9,53,68,62,69,15,8,65,34,72,90,24,22,32,66,46,27,73,90,1,5,69,16,51,56,12,74,22,19,11,45,46,88,71,66,43,37,25,62,13,50,54,23,69,16911.068,1.853182
2013-09-01,16,62,7.2,50,49,40,36,72,49,55,34,70,80,67,2,73,42,53,29,39,49,51,56,54,61,58,37,60,2,10,49,65,60,69,19,9,53,31,68,80,26,22,31,63,40,33,79,87,1,2,66,12,47,53,11,72,25,21,11,42,46,79,58,65,49,31,23,67,18,53,47,23,62,16911.068,1.767500
2013-10-01,30,60,7.2,54,45,36,35,69,58,58,37,73,51,67,2,82,44,54,16,34,49,47,56,53,59,56,36,61,3,10,50,72,55,73,20,7,53,30,70,86,27,22,30,61,39,42,90,80,1,2,64,12,47,51,13,70,20,25,11,37,47,79,58,69,44,32,26,71,14,55,46,23,61,17133.114,1.777273
2013-11-01,15,61,6.9,53,44,39,38,75,55,82,30,72,49,59,3,66,38,62,13,31,51,56,58,47,67,53,35,55,10,9,51,74,60,93,20,8,48,28,73,81,32,26,33,58,36,49,75,73,0,2,63,12,48,53,13,69,23,49,13,34,74,78,58,71,57,31,25,68,14,52,44,25,61,17133.114,1.753158
2013-12-01,19,66,6.7,49,39,42,48,84,52,65,30,80,49,55,3,62,33,63,13,33,50,74,52,45,68,54,38,60,12,10,50,92,64,77,20,9,45,24,71,78,30,27,37,58,46,35,65,77,1,1,65,12,48,49,16,70,25,87,12,29,77,89,58,69,56,31,23,63,12,50,43,27,64,17133.114,1.669524
